entity_name,category,aliases
P2P Global Investments (Pollen Street Secured Lending),Fund,P2 P  Global  Investments ( Pollen  Street  Secured  Lending);P2P Global Investments (Pollen Street Secured Lending);P2P Global Investments (Pollen Street Secured Lending) Capital;P2P Global Investments (Pollen Street Secured Lending) Fund;P2PGlobalInvestments(PollenStreetSecuredLending);p2 p  global  investments ( pollen  street  secured  lending);p2p global investments (pollen street secured lending)
Honeycomb Investment Trust,Fund,Honeycomb  Investment  Trust;Honeycomb Investment Trust;Honeycomb Investment Trust Capital;Honeycomb Investment Trust Fund;HoneycombInvestmentTrust;honeycomb  investment  trust;honeycomb investment trust
VPC Specialty Lending Investments,Fund,V P C  Specialty  Lending  Investments;VPC Specialty Lending Investments;VPC Specialty Lending Investments Capital;VPC Specialty Lending Investments Fund;VPCSpecialtyLendingInvestments;v p c  specialty  lending  investments;vpc specialty lending investments
Ranger Direct Lending Fund,Fund,Ranger  Direct  Lending  Fund;Ranger Direct Lending Fund;Ranger Direct Lending Fund Capital;RangerDirectLendingFund;ranger  direct  lending  fund;ranger direct lending fund
The SME Loan Fund (GLI Alternative Finance),Fund,The  S M E  Loan  Fund ( G L I  Alternative  Finance);The SME Loan Fund (GLI Alternative Finance);The SME Loan Fund (GLI Alternative Finance) Capital;TheSMELoanFund(GLIAlternativeFinance);the  s m e  loan  fund ( g l i  alternative  finance);the sme loan fund (gli alternative finance)
Accial Capital Fund 1,Fund,Accial  Capital  Fund 1;Accial Capital Fund 1;AccialCapitalFund1;accial  capital  fund 1;accial capital fund 1
Lendable MSME Fintech Credit Fund,Fund,Lendable  M S M E  Fintech  Credit  Fund;Lendable MSME Fintech Credit Fund;Lendable MSME Fintech Credit Fund Capital;LendableMSMEFintechCreditFund;lendable  m s m e  fintech  credit  fund;lendable msme fintech credit fund
Prime Meridian Income Fund,Fund,Prime  Meridian  Income  Fund;Prime Meridian Income Fund;Prime Meridian Income Fund Capital;PrimeMeridianIncomeFund;prime  meridian  income  fund;prime meridian income fund
Stone Ridge Alt. Lending Risk Prem. Fund,Fund,Stone  Ridge  Alt.  Lending  Risk  Prem.  Fund;Stone Ridge Alt. Lending Risk Prem. Fund;Stone Ridge Alt. Lending Risk Prem. Fund Capital;StoneRidgeAlt.LendingRiskPrem.Fund;stone  ridge  alt.  lending  risk  prem.  fund;stone ridge alt. lending risk prem. fund
DV01,Competitor,D V01;DV01;d v01;dv01
Cardoai,Competitor,Cardoai;cardoai
Lendity,Competitor,Lendity;lendity
i2invest,Competitor,i2invest
Crosslend,Competitor,Crosslend;crosslend
Alterest,Competitor,Alterest;alterest
Fintex Capital,Competitor,Fintex  Capital;Fintex Capital;FintexCapital;fintex  capital;fintex capital
Mintos,Competitor,Mintos;mintos
Accial Capital,Competitor,Accial  Capital;Accial Capital;AccialCapital;accial  capital;accial capital
Lendable Inc.,Competitor,Lendable  Inc.;Lendable Inc.;LendableInc.;lendable  inc.;lendable inc.
Northern Arc Capital,Competitor,Northern  Arc  Capital;Northern Arc Capital;NorthernArcCapital;northern  arc  capital;northern arc capital
Goldfinch,Competitor,Goldfinch;goldfinch
Vauras,Platform,Vauras;Vauras P2P;Vauras platform;vauras
Smart Lenders,Fund,Smart Lenders;Smart Lenders AM;SmartLenders;smartlenders
Tavis Capital,Fund,Tavis Capital;TavisCapital;taviscapital
Viola Credit,Fund,Viola Credit;ViolaCredit;violacredit
Winyield,Fund,Winyield;WinYield;winyield
